symbol,timestamp,open,high,low,close,volume,last_updated
BNBUSDT,2026-06-30T20:59:59.999000+00:00,547.38000000,547.70000000,545.22000000,545.52000000,3762.48500000,2026-08-04T23:16:05.034278+00:00
BNBUSDT,2026-06-30T21:59:59.999000+00:00,545.52000000,545.82000000,544.13000000,545.02000000,2952.69600000,2026-08-04T23:16:05.034323+00:00
BNBUSDT,2026-06-30T22:59:59.999000+00:00,545.03000000,545.97000000,544.41000000,544.87000000,3294.81600000,2026-08-04T23:16:05.034367+00:00
BNBUSDT,2026-06-30T23:59:59.999000+00:00,544.87000000,546.80000000,544.85000000,546.52000000,1692.62200000,2026-08-04T23:16:05.034412+00:00
BNBUSDT,2026-07-01T00:59:59.999000+00:00,546.52000000,548.56000000,545.25000000,547.86000000,5761.52100000,2026-08-04T23:16:05.034455+00:00
BNBUSDT,2026-07-01T01:59:59.999000+00:00,547.87000000,549.76000000,540.00000000,547.85000000,10504.27000000,2026-08-04T23:16:05.034497+00:00
BNBUSDT,2026-07-01T02:59:59.999000+00:00,547.85000000,550.50000000,547.12000000,549.78000000,5945.62300000,2026-08-04T23:16:05.034539+00:00
BNBUSDT,2026-07-01T03:59:59.999000+00:00,549.78000000,552.83000000,548.73000000,551.52000000,4062.82700000,2026-08-04T23:16:05.034598+00:00
BNBUSDT,2026-07-01T04:59:59.999000+00:00,551.52000000,552.65000000,550.67000000,551.09000000,4767.39900000,2026-08-04T23:16:05.034645+00:00
BNBUSDT,2026-07-01T05:59:59.999000+00:00,551.09000000,551.64000000,549.81000000,551.01000000,2970.73600000,2026-08-04T23:16:05.034684+00:00
BNBUSDT,2026-07-01T06:59:59.999000+00:00,551.01000000,551.12000000,545.08000000,545.91000000,5155.97000000,2026-08-04T23:16:05.034721+00:00
BNBUSDT,2026-07-01T07:59:59.999000+00:00,545.92000000,547.74000000,545.22000000,546.89000000,3091.27600000,2026-08-04T23:16:05.034758+00:00
BNBUSDT,2026-07-01T08:59:59.999000+00:00,546.88000000,547.31000000,544.06000000,547.25000000,5693.32800000,2026-08-04T23:16:05.034794+00:00
BNBUSDT,2026-07-01T09:59:59.999000+00:00,547.25000000,547.69000000,544.79000000,545.26000000,5607.39300000,2026-08-04T23:16:05.034831+00:00
BNBUSDT,2026-07-01T10:59:59.999000+00:00,545.26000000,545.73000000,542.00000000,542.21000000,6623.97900000,2026-08-04T23:16:05.034867+00:00
BNBUSDT,2026-07-01T11:59:59.999000+00:00,542.21000000,544.44000000,537.25000000,542.64000000,16438.38800000,2026-08-04T23:16:05.034903+00:00
BNBUSDT,2026-07-01T12:59:59.999000+00:00,542.64000000,543.72000000,541.32000000,542.66000000,4932.40400000,2026-08-04T23:16:05.034940+00:00
BNBUSDT,2026-07-01T13:59:59.999000+00:00,542.65000000,550.74000000,542.65000000,549.13000000,17753.92200000,2026-08-04T23:16:05.034976+00:00
BNBUSDT,2026-07-01T14:59:59.999000+00:00,549.13000000,552.53000000,547.37000000,549.48000000,9010.57400000,2026-08-04T23:16:05.035012+00:00
